
Quadro extraído em 22 de Maio de 2026 (16:39:58)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (Região agrária/ Ilha);Explorações agrícolas com culturas permanentes (N.º) por Localização geográfica (Região agrária/ Ilha), Tipo (culturas permanentes) e Classes de área (cultura agrícola) -  Decenal (1) ;
;;Tipo (culturas permanentes);
;;Total;
;;Classes de área (cultura agrícola);
;;Total;
;;N.º ;
2019;PT: Portugal;219960;
;1: Continente;205208;
2009;PT: Portugal;242400;
;1: Continente;225806;
1999;PT: Portugal;342918;
;1: Continente;320484;
1989;PT: Portugal;487000;
;1: Continente;453441;

Explorações agrícolas com culturas permanentes (N.º) por Localização geográfica (Região agrária/ Ilha), Tipo (culturas permanentes) e Classes de área (cultura agrícola) -  Decenal - INE, Recenseamento agrícola - séries históricas

Nota(s):
(1) Os registos anteriores a 2019 foram recalculados segundo as sucessivas reorganizações administrativas do território até à versão atual.<br>Não foi possível realizar a conversão total das freguesias dos municípios de Odemira, Lisboa, Loures, Sintra, Amadora, Nordeste e Ponta Delgada.<br>Nestes municípios, os resultados para o nível geográfico da freguesia poderão estar subavaliados, não se refletindo este problema nos níveis geográficos superiores.



Última atualização destes dados: 10 de agosto de 2022


Metainformação associada ao quadro

Explorações agrícolas com culturas permanentes (N.º)
Designação;Explorações agrícolas com culturas permanentes (N.º) por Localização geográfica (Região agrária/ Ilha), Tipo (culturas permanentes) e Classes de área (cultura agrícola) -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento agrícola - séries históricas
Primeiro período disponível;1989
Último período disponível;2019
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (Região agrária/ Ilha)
     Dimensão 3;Tipo (culturas permanentes)
     Dimensão 4;Classes de área (cultura agrícola)
Conceitos
     EXPLORAÇÃO AGRÍCOLA;Unidade técnico-económica que utiliza fatores de produção comuns, tais como mão de obra, máquinas, instalações, terrenos, entre outros, e satisfaz obrigatoriamente as quatro condições seguintes: 1) produzir produtos agrícolas ou manter, em boas condições agrícolas e ambientais, as terras que já não são utilizadas para fins produtivos; 2) atingir ou ultrapassar uma certa dimensão (em área ou número de animais); 3) estar submetida a uma gestão única; 4) estar localizada numa área bem determinada e identificável
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     CULTURAS PERMANENTES;Culturas que ocupam a terra durante um longo período e fornecem repetidas colheitas, não entrando em rotações culturais. Não incluem os prados e pastagens permanentes. No caso das árvores de fruto só são considerados os povoamentos regulares, com densidade mínima de 100 árvores, ou de 45 no caso de oliveiras, figueiras e frutos secos.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Observações;A informação relativa a 1989, 1999, 2009, tem por base operações censitárias (Recenseamentos Agrícolas). Entre estes períodos, bienalmente nos anos ímpares e com excepção de 1991 e 2001, a informação tem por base inquéritos amostrais.
Data da última atualização;10-Aug-2022
