
Quadro extraído em 22 de Maio de 2026 (16:45:42)
http://www.ine.pt



Localização geográfica (Região agrária/ Ilha);Explorações agrícolas com culturas temporárias (N.º) por Localização geográfica (Região agrária/ Ilha) e Tipo (culturas temporárias) -  Decenal (1) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2019;;;;;;;;;;;2009;;;;;;;;;;;1999;;;;;;;;;;;1989;;;;;;;;;;;
;Tipo (culturas temporárias);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;Cereais para grão;Leguminosas secas para grão;Prados temporários;Culturas forrageiras;Batata;Beterraba sacarina;Culturas industriais;Culturas hortícolas;Flores e plantas ornamentais;Outras culturas temporárias;Total;Cereais para grão;Leguminosas secas para grão;Prados temporários;Culturas forrageiras;Batata;Beterraba sacarina;Culturas industriais;Culturas hortícolas;Flores e plantas ornamentais;Outras culturas temporárias;Total;Cereais para grão;Leguminosas secas para grão;Prados temporários;Culturas forrageiras;Batata;Beterraba sacarina;Culturas industriais;Culturas hortícolas;Flores e plantas ornamentais;Outras culturas temporárias;Total;Cereais para grão;Leguminosas secas para grão;Prados temporários;Culturas forrageiras;Batata;Beterraba sacarina;Culturas industriais;Culturas hortícolas;Flores e plantas ornamentais;Outras culturas temporárias;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;139924;67223;16170;16092;69714;40035;- -;2648;23682;1198;8179;182493;110852;29959;13326;107839;66258;72;2579;26856;1296;8367;305361;197484;95425;19566;188106;181558;669;4529;57135;2008;30852;484708;370017;238782;41039;299791;344189;514;4956;87820;2066;81845;
1: Continente;124902;66584;15945;14066;65416;34570;- -;1147;15874;1005;1718;165265;108524;28882;13293;102983;56969;- -;1364;18141;1056;1424;280214;190446;87021;19531;180000;163360;495;3738;48610;1744;20662;446915;352158;222230;40645;285468;312443;33;3638;77052;1788;65133;

Explorações agrícolas com culturas temporárias (N.º) por Localização geográfica (Região agrária/ Ilha) e Tipo (culturas temporárias) -  Decenal - INE, Recenseamento agrícola - séries históricas

Nota(s):
(1) Os registos anteriores a 2019 foram recalculados segundo as sucessivas reorganizações administrativas do território até à versão atual.<br>Não foi possível realizar a conversão total das freguesias dos municípios de Odemira, Lisboa, Loures, Sintra, Amadora, Nordeste e Ponta Delgada.<br>Nestes municípios, os resultados para o nível geográfico da freguesia poderão estar subavaliados, não se refletindo este problema nos níveis geográficos superiores.



Última atualização destes dados: 31 de março de 2021


Metainformação associada ao quadro

Explorações agrícolas com culturas temporárias (N.º)
Designação;Explorações agrícolas com culturas temporárias (N.º) por Localização geográfica (Região agrária/ Ilha) e Tipo (culturas temporárias) -  Decenal
Periodicidade;Decenal
Fonte;INE, Recenseamento agrícola - séries históricas
Primeiro período disponível;1989
Último período disponível;2019
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (Região agrária/ Ilha)
     Dimensão 3;Tipo (culturas temporárias)
Conceitos
     EXPLORAÇÃO AGRÍCOLA;Unidade técnico-económica que utiliza fatores de produção comuns, tais como mão de obra, máquinas, instalações, terrenos, entre outros, e satisfaz obrigatoriamente as quatro condições seguintes: 1) produzir produtos agrícolas ou manter, em boas condições agrícolas e ambientais, as terras que já não são utilizadas para fins produtivos; 2) atingir ou ultrapassar uma certa dimensão (em área ou número de animais); 3) estar submetida a uma gestão única; 4) estar localizada numa área bem determinada e identificável
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     CULTURAS TEMPORÁRIAS;Culturas cujo ciclo vegetativo não excede um ano (as anuais) e também as que são ressemeadas com intervalos que não excedem cinco anos (morangos, espargos, prados temporários, etc.).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Observações;A informação relativa a 1989, 1999, 2009, tem por base operações censitárias (Recenseamentos Agrícolas). Entre estes períodos, bienalmente nos anos ímpares e com excepção de 1991 e 2001, a informação tem por base inquéritos amostrais.
Data da última atualização;31-Mar-2021
