
Quadro extraído em 22 de Maio de 2026 (17:09:38)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Produtividade das principais culturas agrícolas (kg/ ha) por Localização geográfica (NUTS - 2013) e Espécie -  Anual (2) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2019;;;;;;;;;;;;;2009;;;;;;;;;;;;;1999;;;;;;;;;;;;;1989;;;;;;;;;;;;;
;Espécie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cereais para grão;Principais leguminosas secas;Batata;Principais culturas para indústria;Culturas hortícolas;Principais culturas forrageiras;Principais frutos frescos;Frutos pequenos de baga;Principais frutos subtropicais;Citrinos;Principais frutos de casca rija;Vinha;Olival;Cereais para grão;Principais leguminosas secas;Batata;Principais culturas para indústria;Culturas hortícolas;Principais culturas forrageiras;Principais frutos frescos;Frutos pequenos de baga;Principais frutos subtropicais;Citrinos;Principais frutos de casca rija;Vinha;Olival;Cereais para grão;Principais leguminosas secas;Batata;Principais culturas para indústria;Culturas hortícolas;Principais culturas forrageiras;Principais frutos frescos;Frutos pequenos de baga;Principais frutos subtropicais;Citrinos;Principais frutos de casca rija;Vinha;Olival;Cereais para grão;Principais leguminosas secas;Batata;Principais culturas para indústria;Culturas hortícolas;Principais culturas forrageiras;Principais frutos frescos;Frutos pequenos de baga;Principais frutos subtropicais;Citrinos;Principais frutos de casca rija;Vinha;Olival;
;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;kg/ ha ;
PT: Portugal;5160;799;23587;65754;25585;29249;15419;10508;13050;19284;773;4924;2481;3290;561;16443;35120;x x;x x;13690;x x;18567;11901;582;4330;1229;2795;505;15648;20319;x x;x x;9594;x x;16976;10084;825;4873;901;2018;567;11268;9424;x x;x x;6697;x x;3773;7811;1325;4014;971;
1: Continente;5160;797;22953;65754;x x;28241;15451;10508;10690;19460;772;4948;2481;3290;549;15566;35105;x x;x x;13726;x x;17471;11924;580;4340;1229;2795;497;15142;20293;x x;x x;9585;x x;11150;10043;822;4905;901;2013;560;11209;9303;x x;x x;6683;x x;3773;7791;1325;4003;971;

Produtividade das principais culturas agrícolas (kg/ ha) por Localização geográfica (NUTS - 2013) e Espécie -  Anual - INE, Estatísticas da produção vegetal

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".

(2) Os dados de 2016 a 2019 foram revistos tendo em conta os resultados do Recenseamento Agrícola 2019.



Última atualização destes dados: 22 de novembro de 2025


Metainformação associada ao quadro

Produtividade das principais culturas agrícolas (kg/ ha)
Designação;Produtividade das principais culturas agrícolas (kg/ ha) por Localização geográfica (NUTS - 2013) e Espécie -  Anual
Periodicidade;Anual
Fonte;INE, Estatísticas da produção vegetal
Primeiro período disponível;1986
Último período disponível;2022
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Espécie
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Quilograma/ Hectare (kg/ ha)
Potência de 10;0
Data da última atualização;22-Nov-2025
