
Quadro extraído em 22 de Maio de 2026 (17:13:07)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Superfície de prados e pastagens permanentes (ha) por Localização geográfica (NUTS - 2013) e Classes de área (cultura agrícola) -  Não periódica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2019;;;;;;;;;2009;;;;;;;;;1999;;;;;;;;;1989;;;;;;;;;
;Classes de área (cultura agrícola);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;<0,5 ha;0,5 - <1 ha;1 - <2 ha;2 - <5 ha;5 - <20 ha;20 - <50 ha;50 - <100 ha;>= 100 ha;Total;<0,5 ha;0,5 - <1 ha;1 - <2 ha;2 - <5 ha;5 - <20 ha;20 - <50 ha;50 - <100 ha;>= 100 ha;Total;<0,5 ha;0,5 - <1 ha;1 - <2 ha;2 - <5 ha;5 - <20 ha;20 - <50 ha;50 - <100 ha;>= 100 ha;Total;<0,5 ha;0,5 - <1 ha;1 - <2 ha;2 - <5 ha;5 - <20 ha;20 - <50 ha;50 - <100 ha;>= 100 ha;
;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;ha ;
PT: Portugal;2094289;4473;9745;22488;50112;141040;170114;214952;1481366;1827899;5124;10036;21213;47854;134675;142126;146623;1320248;1436823;6778;12137;24853;57141;148550;125761;124609;936994;856334;7734;12517;26194;60001;117658;86381;72666;473182;
1: Continente;2003795;4081;9103;21202;46055;117202;137036;195112;1474004;1721587;4682;9282;19592;42963;104183;106250;127661;1306976;1331033;6233;11087;22782;50696;111410;92054;111249;925523;754825;7128;11360;23483;50412;75617;60658;64644;461523;

Superfície de prados e pastagens permanentes (ha) por Localização geográfica (NUTS - 2013) e Classes de área (cultura agrícola) -  Não periódica - INE, Estatísticas agrícolas de base

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".



Última atualização destes dados: 10 de dezembro de 2024


Metainformação associada ao quadro

Superfície de prados e pastagens permanentes (ha)
Designação;Superfície de prados e pastagens permanentes (ha) por Localização geográfica (NUTS - 2013) e Classes de área (cultura agrícola) -  Não periódica
Periodicidade;Não periódica
Fonte;INE, Estatísticas agrícolas de base
Primeiro período disponível;1989
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Classes de área (cultura agrícola)
Conceitos
     PASTAGENS PERMANENTES;Plantas semeadas ou espontâneas, em geral herbáceas, destinadas a serem comidas pelo gado no local em que vegetam, mas que acessoriamente podem ser cortadas em determinados períodos do ano. Não estão incluídas numa rotação e ocupam o solo por um período superior a 5 anos.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     EXPLORAÇÃO AGRÍCOLA;Unidade técnico-económica que utiliza fatores de produção comuns, tais como mão de obra, máquinas, instalações, terrenos, entre outros, e satisfaz obrigatoriamente as quatro condições seguintes: 1) produzir produtos agrícolas ou manter, em boas condições agrícolas e ambientais, as terras que já não são utilizadas para fins produtivos; 2) atingir ou ultrapassar uma certa dimensão (em área ou número de animais); 3) estar submetida a uma gestão única; 4) estar localizada numa área bem determinada e identificável
Definição;
Fórmula;
Unidade de Medida (símbolo);Hectare (ha)
Potência de 10;0
Observações;A informação relativa a 1989, 1999, 2009, tem por base operações censitárias (Recenseamentos Agrícolas). Entre estes períodos, bienalmente nos anos ímpares e com excepção de 1991 e 2001, a informação tem por base inquéritos amostrais.
Data da última atualização;10-Dec-2024
